[22:08:12] === bulk seed generation starting (target=6000, workers=4, batch=5) ===
[22:08:12] existing accepted seeds: 0 | {}
[22:08:12] prepared 1200 batches across categories
[22:09:05]   +5 [partial_knowledge] ; total=5 ; rate=6/min ; 1/1200 batches
[00:31:30]   +5 [partial_knowledge] ; total=2185 ; rate=22/min ; 437/5816 batches
[00:31:56]   +5 [partial_knowledge] ; total=2190 ; rate=22/min ; 438/5816 batches
[00:32:04]   +5 [partial_knowledge] ; total=2195 ; rate=22/min ; 439/5816 batches
[00:32:17]   +5 [partial_knowledge] ; total=2200 ; rate=22/min ; 440/5816 batches
[00:32:34]   +5 [partial_knowledge] ; total=2205 ; rate=22/min ; 441/5816 batches
[00:32:45]   +5 [partial_knowledge] ; total=2210 ; rate=22/min ; 442/5816 batches
[00:33:05]   +5 [partial_knowledge] ; total=2215 ; rate=22/min ; 443/5816 batches
[00:33:13]   +5 [partial_knowledge] ; total=2220 ; rate=22/min ; 444/5816 batches
[00:33:29]   +5 [partial_knowledge] ; total=2225 ; rate=22/min ; 445/5816 batches
[00:33:44]   +5 [partial_knowledge] ; total=2230 ; rate=22/min ; 446/5816 batches
[00:33:56]   +5 [partial_knowledge] ; total=2235 ; rate=22/min ; 447/5816 batches
[00:34:09]   +5 [partial_knowledge] ; total=2240 ; rate=22/min ; 448/5816 batches
[00:34:21]   +5 [partial_knowledge] ; total=2245 ; rate=22/min ; 449/5816 batches
[00:34:40]   +5 [partial_knowledge] ; total=2250 ; rate=22/min ; 450/5816 batches
[00:34:47]   +5 [partial_knowledge] ; total=2255 ; rate=22/min ; 451/5816 batches
[00:35:00]   +5 [partial_knowledge] ; total=2260 ; rate=22/min ; 452/5816 batches
[00:35:15]   +5 [partial_knowledge] ; total=2265 ; rate=22/min ; 453/5816 batches
[00:35:33]   +5 [partial_knowledge] ; total=2270 ; rate=22/min ; 454/5816 batches
[00:35:46]   +5 [partial_knowledge] ; total=2275 ; rate=22/min ; 455/5816 batches
[00:35:53]   +5 [partial_knowledge] ; total=2280 ; rate=22/min ; 456/5816 batches
[00:36:09]   +5 [partial_knowledge] ; total=2285 ; rate=22/min ; 457/5816 batches
[00:36:21]   +5 [partial_knowledge] ; total=2290 ; rate=22/min ; 458/5816 batches
[00:36:36]   +5 [partial_knowledge] ; total=2295 ; rate=22/min ; 459/5816 batches
[00:36:42]   +5 [partial_knowledge] ; total=2300 ; rate=22/min ; 460/5816 batches
[00:37:10]   +5 [partial_knowledge] ; total=2305 ; rate=22/min ; 461/5816 batches
[00:37:14]   +5 [partial_knowledge] ; total=2310 ; rate=22/min ; 462/5816 batches
[00:37:30]   +5 [partial_knowledge] ; total=2315 ; rate=22/min ; 463/5816 batches
[00:37:33]   +5 [partial_knowledge] ; total=2320 ; rate=22/min ; 464/5816 batches
[00:37:59]   +5 [partial_knowledge] ; total=2325 ; rate=22/min ; 465/5816 batches
[00:38:09]   +5 [partial_knowledge] ; total=2330 ; rate=22/min ; 466/5816 batches
[00:38:19]   +5 [partial_knowledge] ; total=2335 ; rate=22/min ; 467/5816 batches
[00:38:21]   +5 [partial_knowledge] ; total=2340 ; rate=22/min ; 468/5816 batches
[00:38:48]   +5 [partial_knowledge] ; total=2345 ; rate=22/min ; 469/5816 batches
[00:38:58]   +5 [partial_knowledge] ; total=2350 ; rate=22/min ; 470/5816 batches
[00:39:09]   +5 [partial_knowledge] ; total=2355 ; rate=22/min ; 471/5816 batches
[00:39:16]   +5 [partial_knowledge] ; total=2360 ; rate=22/min ; 472/5816 batches
[00:39:41]   +5 [partial_knowledge] ; total=2365 ; rate=22/min ; 473/5816 batches
[00:39:43]   +5 [partial_knowledge] ; total=2370 ; rate=22/min ; 474/5816 batches
[00:40:00]   +5 [partial_knowledge] ; total=2375 ; rate=22/min ; 475/5816 batches
[00:40:14]   +5 [partial_knowledge] ; total=2380 ; rate=22/min ; 476/5816 batches
[00:40:28]   +5 [partial_knowledge] ; total=2385 ; rate=22/min ; 477/5816 batches
[00:40:30]   +5 [partial_knowledge] ; total=2390 ; rate=22/min ; 478/5816 batches
[00:40:51]   +5 [partial_knowledge] ; total=2395 ; rate=22/min ; 479/5816 batches
[00:41:10]   +5 [partial_knowledge] ; total=2400 ; rate=22/min ; 480/5816 batches
[00:41:18]   +5 [partial_knowledge] ; total=2405 ; rate=22/min ; 481/5816 batches
[00:41:22]   +5 [partial_knowledge] ; total=2410 ; rate=22/min ; 482/5816 batches
[00:41:43]   +5 [partial_knowledge] ; total=2415 ; rate=22/min ; 483/5816 batches
[00:41:58]   +5 [partial_knowledge] ; total=2420 ; rate=22/min ; 484/5816 batches
[00:42:06]   +5 [partial_knowledge] ; total=2425 ; rate=22/min ; 485/5816 batches
[00:42:12]   +5 [partial_knowledge] ; total=2430 ; rate=22/min ; 486/5816 batches
[00:42:32]   +5 [partial_knowledge] ; total=2435 ; rate=22/min ; 487/5816 batches
[00:42:47]   +5 [partial_knowledge] ; total=2440 ; rate=22/min ; 488/5816 batches
[00:42:57]   +5 [partial_knowledge] ; total=2445 ; rate=22/min ; 489/5816 batches
[00:43:05]   +5 [partial_knowledge] ; total=2450 ; rate=22/min ; 490/5816 batches
[00:43:22]   +5 [partial_knowledge] ; total=2455 ; rate=22/min ; 491/5816 batches
[00:43:39]   +5 [partial_knowledge] ; total=2460 ; rate=22/min ; 492/5816 batches
[00:43:47]   +5 [partial_knowledge] ; total=2465 ; rate=22/min ; 493/5816 batches
[00:43:54]   +5 [partial_knowledge] ; total=2470 ; rate=22/min ; 494/5816 batches
[00:44:16]   +5 [partial_knowledge] ; total=2475 ; rate=22/min ; 495/5816 batches
[00:44:34]   +5 [partial_knowledge] ; total=2480 ; rate=22/min ; 496/5816 batches
[00:44:38]   +5 [partial_knowledge] ; total=2485 ; rate=22/min ; 497/5816 batches
[00:44:48]   +5 [partial_knowledge] ; total=2490 ; rate=22/min ; 498/5816 batches
[00:45:00]   +5 [partial_knowledge] ; total=2495 ; rate=22/min ; 499/5816 batches
[00:45:22]   +5 [partial_knowledge] ; total=2500 ; rate=22/min ; 500/5816 batches
[00:45:29]   +5 [partial_knowledge] ; total=2505 ; rate=22/min ; 501/5816 batches
[00:45:34]   +5 [partial_knowledge] ; total=2510 ; rate=22/min ; 502/5816 batches
[00:45:48]   +5 [partial_knowledge] ; total=2515 ; rate=22/min ; 503/5816 batches
[00:46:08]   +5 [partial_knowledge] ; total=2520 ; rate=22/min ; 504/5816 batches
[00:46:25]   +5 [partial_knowledge] ; total=2525 ; rate=22/min ; 505/5816 batches
[00:46:30]   +5 [partial_knowledge] ; total=2530 ; rate=22/min ; 506/5816 batches
[00:46:39]   +5 [partial_knowledge] ; total=2535 ; rate=22/min ; 507/5816 batches
[00:46:59]   +5 [partial_knowledge] ; total=2540 ; rate=22/min ; 508/5816 batches
[00:47:16]   +5 [partial_knowledge] ; total=2545 ; rate=22/min ; 509/5816 batches
[00:47:16]   +5 [partial_knowledge] ; total=2550 ; rate=22/min ; 510/5816 batches
[00:47:35]   +5 [partial_knowledge] ; total=2555 ; rate=22/min ; 511/5816 batches
[00:47:48]   +5 [partial_knowledge] ; total=2560 ; rate=22/min ; 512/5816 batches
[00:48:03]   +5 [partial_knowledge] ; total=2565 ; rate=22/min ; 513/5816 batches
[00:48:06]   +5 [partial_knowledge] ; total=2570 ; rate=22/min ; 514/5816 batches
[00:48:27]   +5 [partial_knowledge] ; total=2575 ; rate=22/min ; 515/5816 batches
[00:48:44]   +5 [partial_knowledge] ; total=2580 ; rate=22/min ; 516/5816 batches
[00:48:50]   +5 [partial_knowledge] ; total=2585 ; rate=22/min ; 517/5816 batches
[00:49:05]   +5 [partial_knowledge] ; total=2590 ; rate=22/min ; 518/5816 batches
[00:49:13]   +5 [partial_knowledge] ; total=2595 ; rate=22/min ; 519/5816 batches
[00:49:37]   +5 [partial_knowledge] ; total=2600 ; rate=22/min ; 520/5816 batches
[00:49:41]   +5 [partial_knowledge] ; total=2605 ; rate=22/min ; 521/5816 batches
[00:49:47]   +5 [partial_knowledge] ; total=2610 ; rate=22/min ; 522/5816 batches
[00:50:01]   +5 [partial_knowledge] ; total=2615 ; rate=22/min ; 523/5816 batches
[00:50:28]   +5 [partial_knowledge] ; total=2620 ; rate=22/min ; 524/5816 batches
[00:50:33]   +5 [partial_knowledge] ; total=2625 ; rate=22/min ; 525/5816 batches
[00:50:48]   +5 [partial_knowledge] ; total=2630 ; rate=22/min ; 526/5816 batches
[00:50:48]   +5 [partial_knowledge] ; total=2635 ; rate=22/min ; 527/5816 batches
[00:51:15]   +5 [partial_knowledge] ; total=2640 ; rate=22/min ; 528/5816 batches
[00:51:27]   +5 [partial_knowledge] ; total=2645 ; rate=22/min ; 529/5816 batches
[00:51:35]   +5 [partial_knowledge] ; total=2650 ; rate=22/min ; 530/5816 batches
[00:51:36]   +5 [partial_knowledge] ; total=2655 ; rate=22/min ; 531/5816 batches
[00:52:10]   +5 [partial_knowledge] ; total=2660 ; rate=22/min ; 532/5816 batches
[00:52:21]   +5 [partial_knowledge] ; total=2665 ; rate=22/min ; 533/5816 batches
[00:52:24]   +5 [partial_knowledge] ; total=2670 ; rate=22/min ; 534/5816 batches
[00:52:26]   +5 [partial_knowledge] ; total=2675 ; rate=22/min ; 535/5816 batches
[00:52:55]   +5 [partial_knowledge] ; total=2680 ; rate=22/min ; 536/5816 batches
[00:53:13]   +5 [partial_knowledge] ; total=2685 ; rate=22/min ; 537/5816 batches
[00:53:15]   +5 [partial_knowledge] ; total=2690 ; rate=22/min ; 538/5816 batches
[00:53:17]   +5 [partial_knowledge] ; total=2695 ; rate=22/min ; 539/5816 batches
[00:53:44]   +5 [partial_knowledge] ; total=2700 ; rate=22/min ; 540/5816 batches
[00:53:59]   +5 [partial_knowledge] ; total=2705 ; rate=22/min ; 541/5816 batches
[00:54:03]   +5 [partial_knowledge] ; total=2710 ; rate=22/min ; 542/5816 batches
[00:54:04]   +5 [partial_knowledge] ; total=2715 ; rate=22/min ; 543/5816 batches
[00:54:37]   +5 [partial_knowledge] ; total=2720 ; rate=22/min ; 544/5816 batches
[00:54:47]   +5 [partial_knowledge] ; total=2725 ; rate=22/min ; 545/5816 batches
[00:54:49]   +5 [partial_knowledge] ; total=2730 ; rate=22/min ; 546/5816 batches
[00:54:56]   +5 [partial_knowledge] ; total=2735 ; rate=22/min ; 547/5816 batches
[00:55:26]   +5 [partial_knowledge] ; total=2740 ; rate=22/min ; 548/5816 batches
[00:55:39]   +5 [partial_knowledge] ; total=2745 ; rate=22/min ; 549/5816 batches
[00:55:41]   +5 [partial_knowledge] ; total=2750 ; rate=22/min ; 550/5816 batches
[00:55:48]   +5 [partial_knowledge] ; total=2755 ; rate=22/min ; 551/5816 batches
[00:56:21]   +5 [partial_knowledge] ; total=2760 ; rate=22/min ; 552/5816 batches
[00:56:29]   +5 [partial_knowledge] ; total=2765 ; rate=22/min ; 553/5816 batches
[00:56:35]   +5 [partial_knowledge] ; total=2770 ; rate=22/min ; 554/5816 batches
[00:56:37]   +5 [partial_knowledge] ; total=2775 ; rate=22/min ; 555/5816 batches
[00:57:14]   +5 [partial_knowledge] ; total=2780 ; rate=22/min ; 556/5816 batches
[00:57:18]   +5 [partial_knowledge] ; total=2785 ; rate=22/min ; 557/5816 batches
[00:57:20]   +5 [partial_knowledge] ; total=2790 ; rate=22/min ; 558/5816 batches
[00:57:26]   +5 [partial_knowledge] ; total=2795 ; rate=22/min ; 559/5816 batches
[00:58:02]   +5 [partial_knowledge] ; total=2800 ; rate=22/min ; 560/5816 batches
[00:58:15]   +5 [partial_knowledge] ; total=2805 ; rate=22/min ; 561/5816 batches
[00:58:16]   +5 [partial_knowledge] ; total=2810 ; rate=22/min ; 562/5816 batches
[00:58:20]   +5 [partial_knowledge] ; total=2815 ; rate=22/min ; 563/5816 batches
[00:58:48]   +5 [partial_knowledge] ; total=2820 ; rate=22/min ; 564/5816 batches
[00:59:02]   +5 [partial_knowledge] ; total=2825 ; rate=22/min ; 565/5816 batches
[00:59:06]   +5 [partial_knowledge] ; total=2830 ; rate=22/min ; 566/5816 batches
[00:59:08]   +5 [partial_knowledge] ; total=2835 ; rate=22/min ; 567/5816 batches
[00:59:36]   +5 [partial_knowledge] ; total=2840 ; rate=22/min ; 568/5816 batches
[00:59:46]   +5 [partial_knowledge] ; total=2845 ; rate=22/min ; 569/5816 batches
[00:59:53]   +5 [partial_knowledge] ; total=2850 ; rate=22/min ; 570/5816 batches
[00:59:56]   +5 [partial_knowledge] ; total=2855 ; rate=22/min ; 571/5816 batches
[01:00:22]   +5 [partial_knowledge] ; total=2860 ; rate=22/min ; 572/5816 batches
[01:00:40]   +5 [partial_knowledge] ; total=2865 ; rate=22/min ; 573/5816 batches
[01:00:53]   +5 [partial_knowledge] ; total=2870 ; rate=22/min ; 574/5816 batches
[01:01:03]   +5 [partial_knowledge] ; total=2875 ; rate=22/min ; 575/5816 batches
[01:01:14]   +5 [partial_knowledge] ; total=2880 ; rate=22/min ; 576/5816 batches
[01:01:19]   +5 [partial_knowledge] ; total=2885 ; rate=22/min ; 577/5816 batches
[01:01:43]   +5 [partial_knowledge] ; total=2890 ; rate=22/min ; 578/5816 batches
[01:01:53]   +5 [partial_knowledge] ; total=2895 ; rate=22/min ; 579/5816 batches
[01:02:09]   +5 [partial_knowledge] ; total=2900 ; rate=22/min ; 580/5816 batches
[01:02:15]   +5 [partial_knowledge] ; total=2905 ; rate=22/min ; 581/5816 batches
[01:02:36]   +5 [partial_knowledge] ; total=2910 ; rate=22/min ; 582/5816 batches
[01:02:45]   +5 [partial_knowledge] ; total=2915 ; rate=22/min ; 583/5816 batches
[01:03:04]   +5 [partial_knowledge] ; total=2920 ; rate=22/min ; 584/5816 batches
[01:03:09]   +5 [partial_knowledge] ; total=2925 ; rate=22/min ; 585/5816 batches
[01:03:33]   +5 [partial_knowledge] ; total=2930 ; rate=22/min ; 586/5816 batches
[01:03:35]   +5 [partial_knowledge] ; total=2935 ; rate=22/min ; 587/5816 batches
[01:03:53]   +5 [partial_knowledge] ; total=2940 ; rate=22/min ; 588/5816 batches
[01:04:00]   +5 [partial_knowledge] ; total=2945 ; rate=22/min ; 589/5816 batches
[01:04:18]   +5 [partial_knowledge] ; total=2950 ; rate=22/min ; 590/5816 batches
[01:04:28]   +5 [partial_knowledge] ; total=2955 ; rate=22/min ; 591/5816 batches
[01:04:45]   +5 [partial_knowledge] ; total=2960 ; rate=22/min ; 592/5816 batches
[01:04:52]   +5 [partial_knowledge] ; total=2965 ; rate=22/min ; 593/5816 batches
[01:05:09]   +5 [partial_knowledge] ; total=2970 ; rate=22/min ; 594/5816 batches
[01:05:15]   +5 [partial_knowledge] ; total=2975 ; rate=22/min ; 595/5816 batches
[01:05:34]   +5 [partial_knowledge] ; total=2980 ; rate=22/min ; 596/5816 batches
[01:05:39]   +5 [partial_knowledge] ; total=2985 ; rate=22/min ; 597/5816 batches
[01:05:49]   +5 [partial_knowledge] ; total=2990 ; rate=22/min ; 598/5816 batches
[01:06:02]   +5 [partial_knowledge] ; total=2995 ; rate=22/min ; 599/5816 batches
[01:06:27]   +5 [partial_knowledge] ; total=3000 ; rate=22/min ; 600/5816 batches
[01:06:34]   +5 [partial_knowledge] ; total=3005 ; rate=22/min ; 601/5816 batches
[01:06:40]   +5 [partial_knowledge] ; total=3010 ; rate=22/min ; 602/5816 batches
[01:06:45]   +5 [partial_knowledge] ; total=3015 ; rate=22/min ; 603/5816 batches
[01:07:24]   +5 [partial_knowledge] ; total=3020 ; rate=22/min ; 604/5816 batches
[01:07:28]   +5 [partial_knowledge] ; total=3025 ; rate=22/min ; 605/5816 batches
[01:07:32]   +5 [partial_knowledge] ; total=3030 ; rate=22/min ; 606/5816 batches
[01:07:36]   +5 [partial_knowledge] ; total=3035 ; rate=22/min ; 607/5816 batches
[01:08:10]   +5 [partial_knowledge] ; total=3040 ; rate=22/min ; 608/5816 batches
[01:08:21]   +5 [partial_knowledge] ; total=3045 ; rate=22/min ; 609/5816 batches
[01:08:25]   +5 [partial_knowledge] ; total=3050 ; rate=22/min ; 610/5816 batches
[01:08:29]   +5 [partial_knowledge] ; total=3055 ; rate=22/min ; 611/5816 batches
[01:08:58]   +5 [partial_knowledge] ; total=3060 ; rate=22/min ; 612/5816 batches
[01:09:08]   +5 [partial_knowledge] ; total=3065 ; rate=22/min ; 613/5816 batches
[01:09:09]   +5 [partial_knowledge] ; total=3070 ; rate=22/min ; 614/5816 batches
[01:09:23]   +5 [partial_knowledge] ; total=3075 ; rate=22/min ; 615/5816 batches
[01:09:44]   +5 [partial_knowledge] ; total=3080 ; rate=22/min ; 616/5816 batches
[01:09:58]   +5 [partial_knowledge] ; total=3085 ; rate=22/min ; 617/5816 batches
[01:10:03]   +5 [partial_knowledge] ; total=3090 ; rate=22/min ; 618/5816 batches
[01:10:09]   +5 [partial_knowledge] ; total=3095 ; rate=22/min ; 619/5816 batches
[01:10:34]   +5 [partial_knowledge] ; total=3100 ; rate=22/min ; 620/5816 batches
[01:10:50]   +5 [partial_knowledge] ; total=3105 ; rate=22/min ; 621/5816 batches
[01:10:54]   +5 [partial_knowledge] ; total=3110 ; rate=22/min ; 622/5816 batches
[01:10:56]   +5 [partial_knowledge] ; total=3115 ; rate=22/min ; 623/5816 batches
[01:11:23]   +5 [partial_knowledge] ; total=3120 ; rate=22/min ; 624/5816 batches
[01:11:36]   +5 [partial_knowledge] ; total=3125 ; rate=22/min ; 625/5816 batches
[01:11:48]   +5 [partial_knowledge] ; total=3130 ; rate=22/min ; 626/5816 batches
[01:11:55]   +5 [partial_knowledge] ; total=3135 ; rate=22/min ; 627/5816 batches
[01:12:13]   +5 [partial_knowledge] ; total=3140 ; rate=22/min ; 628/5816 batches
[01:12:37]   +5 [partial_knowledge] ; total=3145 ; rate=22/min ; 629/5816 batches
[01:12:43]   +5 [partial_knowledge] ; total=3150 ; rate=22/min ; 630/5816 batches
[01:12:56]   +5 [partial_knowledge] ; total=3155 ; rate=22/min ; 631/5816 batches
[01:12:58]   +5 [partial_knowledge] ; total=3160 ; rate=22/min ; 632/5816 batches
[01:13:32]   +5 [partial_knowledge] ; total=3165 ; rate=22/min ; 633/5816 batches
[01:13:37]   +5 [partial_knowledge] ; total=3170 ; rate=22/min ; 634/5816 batches
[01:13:48]   +5 [partial_knowledge] ; total=3175 ; rate=22/min ; 635/5816 batches
[01:13:53]   +5 [partial_knowledge] ; total=3180 ; rate=22/min ; 636/5816 batches
[01:14:26]   +5 [partial_knowledge] ; total=3185 ; rate=22/min ; 637/5816 batches
[01:14:29]   +5 [partial_knowledge] ; total=3190 ; rate=22/min ; 638/5816 batches
[01:14:46]   +5 [partial_knowledge] ; total=3195 ; rate=22/min ; 639/5816 batches
[01:14:47]   +5 [partial_knowledge] ; total=3200 ; rate=22/min ; 640/5816 batches
[01:15:18]   +5 [partial_knowledge] ; total=3205 ; rate=22/min ; 641/5816 batches
[01:15:20]   +5 [partial_knowledge] ; total=3210 ; rate=22/min ; 642/5816 batches
[01:15:31]   +5 [partial_knowledge] ; total=3215 ; rate=22/min ; 643/5816 batches
[01:15:35]   +5 [partial_knowledge] ; total=3220 ; rate=22/min ; 644/5816 batches
[01:16:04]   +5 [partial_knowledge] ; total=3225 ; rate=22/min ; 645/5816 batches
[01:16:08]   +5 [partial_knowledge] ; total=3230 ; rate=22/min ; 646/5816 batches
[01:16:19]   +5 [partial_knowledge] ; total=3235 ; rate=22/min ; 647/5816 batches
[01:16:26]   +5 [partial_knowledge] ; total=3240 ; rate=22/min ; 648/5816 batches
[01:16:52]   +5 [partial_knowledge] ; total=3245 ; rate=22/min ; 649/5816 batches
[01:16:55]   +5 [partial_knowledge] ; total=3250 ; rate=22/min ; 650/5816 batches
[01:17:07]   +5 [partial_knowledge] ; total=3255 ; rate=22/min ; 651/5816 batches
[01:17:16]   +5 [partial_knowledge] ; total=3260 ; rate=22/min ; 652/5816 batches
[01:17:45]   +5 [partial_knowledge] ; total=3265 ; rate=22/min ; 653/5816 batches
[01:17:51]   +5 [partial_knowledge] ; total=3270 ; rate=22/min ; 654/5816 batches
[01:17:58]   +5 [partial_knowledge] ; total=3275 ; rate=22/min ; 655/5816 batches
[01:18:09]   +5 [partial_knowledge] ; total=3280 ; rate=22/min ; 656/5816 batches
[01:18:41]   +5 [partial_knowledge] ; total=3285 ; rate=22/min ; 657/5816 batches
[01:18:43]   +5 [partial_knowledge] ; total=3290 ; rate=22/min ; 658/5816 batches
[01:18:51]   +5 [partial_knowledge] ; total=3295 ; rate=22/min ; 659/5816 batches
[01:18:58]   +5 [partial_knowledge] ; total=3300 ; rate=23/min ; 660/5816 batches
[01:19:34]   +5 [partial_knowledge] ; total=3305 ; rate=22/min ; 661/5816 batches
[01:19:37]   +5 [partial_knowledge] ; total=3310 ; rate=22/min ; 662/5816 batches
[01:19:43]   +5 [partial_knowledge] ; total=3315 ; rate=22/min ; 663/5816 batches
[01:19:50]   +5 [partial_knowledge] ; total=3320 ; rate=23/min ; 664/5816 batches
[01:20:30]   +5 [partial_knowledge] ; total=3325 ; rate=22/min ; 665/5816 batches
[01:20:38]   +5 [partial_knowledge] ; total=3330 ; rate=22/min ; 666/5816 batches
[01:20:39]   +5 [partial_knowledge] ; total=3335 ; rate=22/min ; 667/5816 batches
[01:20:43]   +5 [partial_knowledge] ; total=3340 ; rate=23/min ; 668/5816 batches
[01:21:19]   +5 [partial_knowledge] ; total=3345 ; rate=22/min ; 669/5816 batches
[01:21:33]   +5 [partial_knowledge] ; total=3350 ; rate=22/min ; 670/5816 batches
[01:21:36]   +5 [partial_knowledge] ; total=3355 ; rate=22/min ; 671/5816 batches
[01:21:37]   +5 [partial_knowledge] ; total=3360 ; rate=23/min ; 672/5816 batches
[01:22:11]   +5 [partial_knowledge] ; total=3365 ; rate=22/min ; 673/5816 batches
[01:22:29]   +5 [partial_knowledge] ; total=3370 ; rate=22/min ; 674/5816 batches
[01:22:32]   +5 [partial_knowledge] ; total=3375 ; rate=22/min ; 675/5816 batches
[01:22:33]   +5 [partial_knowledge] ; total=3380 ; rate=22/min ; 676/5816 batches
[01:23:00]   +5 [partial_knowledge] ; total=3385 ; rate=22/min ; 677/5816 batches
[01:23:23]   +5 [partial_knowledge] ; total=3390 ; rate=22/min ; 678/5816 batches
[01:23:27]   +5 [partial_knowledge] ; total=3395 ; rate=22/min ; 679/5816 batches
[01:23:28]   +5 [partial_knowledge] ; total=3400 ; rate=22/min ; 680/5816 batches
[01:23:56]   +5 [partial_knowledge] ; total=3405 ; rate=22/min ; 681/5816 batches
[01:24:16]   +5 [partial_knowledge] ; total=3410 ; rate=22/min ; 682/5816 batches
[01:24:21]   +5 [partial_knowledge] ; total=3415 ; rate=22/min ; 683/5816 batches
[01:24:22]   +5 [partial_knowledge] ; total=3420 ; rate=22/min ; 684/5816 batches
[01:24:52]   +5 [partial_knowledge] ; total=3425 ; rate=22/min ; 685/5816 batches
[01:25:03]   +5 [partial_knowledge] ; total=3430 ; rate=22/min ; 686/5816 batches
[01:25:19]   +5 [partial_knowledge] ; total=3435 ; rate=22/min ; 687/5816 batches
[01:25:22]   +5 [partial_knowledge] ; total=3440 ; rate=22/min ; 688/5816 batches
[01:25:47]   +5 [partial_knowledge] ; total=3445 ; rate=22/min ; 689/5816 batches
[01:25:57]   +5 [partial_knowledge] ; total=3450 ; rate=22/min ; 690/5816 batches
[01:26:14]   +5 [partial_knowledge] ; total=3455 ; rate=22/min ; 691/5816 batches
[01:26:15]   +5 [partial_knowledge] ; total=3460 ; rate=22/min ; 692/5816 batches
[01:26:34]   +5 [partial_knowledge] ; total=3465 ; rate=22/min ; 693/5816 batches
[01:26:48]   +5 [partial_knowledge] ; total=3470 ; rate=22/min ; 694/5816 batches
[01:27:08]   +5 [partial_knowledge] ; total=3475 ; rate=22/min ; 695/5816 batches
[01:27:12]   +5 [partial_knowledge] ; total=3480 ; rate=22/min ; 696/5816 batches
[01:27:27]   +5 [partial_knowledge] ; total=3485 ; rate=22/min ; 697/5816 batches
[01:27:38]   +5 [partial_knowledge] ; total=3490 ; rate=22/min ; 698/5816 batches
[01:27:57]   +5 [partial_knowledge] ; total=3495 ; rate=22/min ; 699/5816 batches
[01:28:01]   +5 [partial_knowledge] ; total=3500 ; rate=22/min ; 700/5816 batches
[01:28:20]   +5 [partial_knowledge] ; total=3505 ; rate=22/min ; 701/5816 batches
[01:28:23]   +5 [partial_knowledge] ; total=3510 ; rate=22/min ; 702/5816 batches
[01:28:47]   +5 [partial_knowledge] ; total=3515 ; rate=22/min ; 703/5816 batches
[01:28:54]   +5 [partial_knowledge] ; total=3520 ; rate=22/min ; 704/5816 batches
[01:29:12]   +5 [partial_knowledge] ; total=3525 ; rate=22/min ; 705/5816 batches
[01:29:17]   +5 [partial_knowledge] ; total=3530 ; rate=22/min ; 706/5816 batches
[01:29:36]   +5 [partial_knowledge] ; total=3535 ; rate=22/min ; 707/5816 batches
[01:29:47]   +5 [partial_knowledge] ; total=3540 ; rate=22/min ; 708/5816 batches
[01:30:07]   +5 [partial_knowledge] ; total=3545 ; rate=22/min ; 709/5816 batches
[01:30:12]   +5 [partial_knowledge] ; total=3550 ; rate=22/min ; 710/5816 batches
[01:30:31]   +5 [partial_knowledge] ; total=3555 ; rate=22/min ; 711/5816 batches
[01:30:37]   +5 [partial_knowledge] ; total=3560 ; rate=22/min ; 712/5816 batches
[01:31:02]   +5 [partial_knowledge] ; total=3565 ; rate=22/min ; 713/5816 batches
[01:31:03]   +5 [partial_knowledge] ; total=3570 ; rate=22/min ; 714/5816 batches
[01:31:24]   +5 [partial_knowledge] ; total=3575 ; rate=22/min ; 715/5816 batches
[01:31:36]   +5 [partial_knowledge] ; total=3580 ; rate=22/min ; 716/5816 batches
[01:31:55]   +5 [partial_knowledge] ; total=3585 ; rate=22/min ; 717/5816 batches
[01:31:55]   +5 [partial_knowledge] ; total=3590 ; rate=22/min ; 718/5816 batches
[01:32:20]   +5 [partial_knowledge] ; total=3595 ; rate=22/min ; 719/5816 batches
[01:32:25]   +5 [partial_knowledge] ; total=3600 ; rate=22/min ; 720/5816 batches
[01:32:47]   +5 [partial_knowledge] ; total=3605 ; rate=22/min ; 721/5816 batches
[01:32:51]   +5 [partial_knowledge] ; total=3610 ; rate=22/min ; 722/5816 batches
[01:33:15]   +5 [partial_knowledge] ; total=3615 ; rate=22/min ; 723/5816 batches
[01:33:25]   +5 [partial_knowledge] ; total=3620 ; rate=22/min ; 724/5816 batches
[01:33:32]   +5 [partial_knowledge] ; total=3625 ; rate=22/min ; 725/5816 batches
[01:33:45]   +5 [partial_knowledge] ; total=3630 ; rate=22/min ; 726/5816 batches
[01:34:07]   +5 [partial_knowledge] ; total=3635 ; rate=22/min ; 727/5816 batches
[01:34:19]   +5 [partial_knowledge] ; total=3640 ; rate=22/min ; 728/5816 batches
[01:34:23]   +5 [partial_knowledge] ; total=3645 ; rate=22/min ; 729/5816 batches
[01:34:33]   +5 [partial_knowledge] ; total=3650 ; rate=22/min ; 730/5816 batches
[01:34:53]   +5 [partial_knowledge] ; total=3655 ; rate=22/min ; 731/5816 batches
[01:35:12]   +5 [partial_knowledge] ; total=3660 ; rate=22/min ; 732/5816 batches
[01:35:20]   +5 [partial_knowledge] ; total=3665 ; rate=22/min ; 733/5816 batches
[01:35:26]   +5 [partial_knowledge] ; total=3670 ; rate=22/min ; 734/5816 batches
[01:35:46]   +5 [partial_knowledge] ; total=3675 ; rate=22/min ; 735/5816 batches
[01:36:04]   +5 [partial_knowledge] ; total=3680 ; rate=22/min ; 736/5816 batches
[01:36:14]   +5 [partial_knowledge] ; total=3685 ; rate=22/min ; 737/5816 batches
